covariate_id,covariate_name,analysis_id,concept_id
80180212,condition_era group during day -30 through 0 days relative to index: Osteoarthritis,212,80180
134438212,condition_era group during day -30 through 0 days relative to index: Contact dermatitis,212,134438
192671212,condition_era group during day -30 through 0 days relative to index: Gastrointestinal hemorrhage,212,192671
257012212,condition_era group during day -30 through 0 days relative to index: Chronic sinusitis,212,257012
260139212,condition_era group during day -30 through 0 days relative to index: Acute bronchitis,212,260139
378001212,condition_era group during day -30 through 0 days relative to index: Concussion with no loss of consciousness,212,378001
4001336212,condition_era group during day -30 through 0 days relative to index: Concussion injury of brain,212,4001336
4048171212,condition_era group during day -30 through 0 days relative to index: Perennial allergic rhinitis with seasonal variation,212,4048171
4112343212,condition_era group during day -30 through 0 days relative to index: Acute viral pharyngitis,212,4112343
4132546212,condition_era group during day -30 through 0 days relative to index: Traumatic brain injury,212,4132546
4134304212,condition_era group during day -30 through 0 days relative to index: Fracture subluxation of wrist,212,4134304
4142905212,condition_era group during day -30 through 0 days relative to index: Fracture of rib,212,4142905
4266809212,condition_era group during day -30 through 0 days relative to index: Diverticular disease,212,4266809
4283893212,condition_era group during day -30 through 0 days relative to index: Sinusitis,212,4283893
40481087212,condition_era group during day -30 through 0 days relative to index: Viral sinusitis,212,40481087
40486433212,condition_era group during day -30 through 0 days relative to index: Perennial allergic rhinitis,212,40486433
1901,Charlson index - Romano adaptation,901,0
1904,CHADS2VASc,904,0
3006322704,measurement during day -30 through 0 days relative to index: Oral temperature,704,3006322
3051031704,measurement during day -30 through 0 days relative to index: History of Hospitalizations+Outpatient visits Narrative,704,3051031
4024958704,measurement during day -30 through 0 days relative to index: Throat culture,704,4024958
4052083704,measurement during day -30 through 0 days relative to index: Measurement of respiratory function,704,4052083
40758406704,measurement during day -30 through 0 days relative to index: HIV status,704,40758406
40766240704,measurement during day -30 through 0 days relative to index: Are you covered by health insurance or some other kind of health care plan [PhenX],704,40766240
46235214704,measurement during day -30 through 0 days relative to index: Sexual orientation,704,46235214
738818410,drug_era group during day -365 through 0 days relative to index: Doxylamine,410,738818
740275410,drug_era group during day -365 through 0 days relative to index: Carbamazepine,410,740275
920293410,drug_era group during day -365 through 0 days relative to index: Nitrofurantoin,410,920293
933724410,drug_era group during day -365 through 0 days relative to index: Phenazopyridine,410,933724
975125410,drug_era group during day -365 through 0 days relative to index: Hydrocortisone,410,975125
1112807410,drug_era group during day -365 through 0 days relative to index: Aspirin,410,1112807
1115008410,drug_era group during day -365 through 0 days relative to index: Naproxen,410,1115008
1118084410,drug_era group during day -365 through 0 days relative to index: celecoxib,410,1118084
1119510410,drug_era group during day -365 through 0 days relative to index: Dextromethorphan,410,1119510
1124300410,drug_era group during day -365 through 0 days relative to index: Diclofenac,410,1124300
1125315410,drug_era group during day -365 through 0 days relative to index: Acetaminophen,410,1125315
1150770410,drug_era group during day -365 through 0 days relative to index: Astemizole,410,1150770
1174888410,drug_era group during day -365 through 0 days relative to index: Hydrocodone,410,1174888
1177480410,drug_era group during day -365 through 0 days relative to index: Ibuprofen,410,1177480
1322184410,drug_era group during day -365 through 0 days relative to index: clopidogrel,410,1322184
1332418410,drug_era group during day -365 through 0 days relative to index: Amlodipine,410,1332418
1361711410,drug_era group during day -365 through 0 days relative to index: Nitroglycerin,410,1361711
1539403410,drug_era group during day -365 through 0 days relative to index: Simvastatin,410,1539403
1713332410,drug_era group during day -365 through 0 days relative to index: Amoxicillin,410,1713332
1729720410,drug_era group during day -365 through 0 days relative to index: Penicillin V,410,1729720
1759842410,drug_era group during day -365 through 0 days relative to index: Clavulanate,410,1759842
1112807412,drug_era group during day -30 through 0 days relative to index: Aspirin,412,1112807
1118084412,drug_era group during day -30 through 0 days relative to index: celecoxib,412,1118084
1124300412,drug_era group during day -30 through 0 days relative to index: Diclofenac,412,1124300
1125315412,drug_era group during day -30 through 0 days relative to index: Acetaminophen,412,1125315
1177480412,drug_era group during day -30 through 0 days relative to index: Ibuprofen,412,1177480
1322184412,drug_era group during day -30 through 0 days relative to index: clopidogrel,412,1322184
1361711412,drug_era group during day -30 through 0 days relative to index: Nitroglycerin,412,1361711
3000876702,measurement during day -365 through 0 days relative to index: Codfish IgE Ab [Units/volume] in Serum,702,3000876
3000963702,measurement during day -365 through 0 days relative to index: Hemoglobin,702,3000963
3001247702,measurement during day -365 through 0 days relative to index: Common Ragweed IgE Ab [Units/volume] in Serum,702,3001247
3001488702,measurement during day -365 through 0 days relative to index: Cow milk IgE Ab [Units/volume] in Serum,702,3001488
3005136702,measurement during day -365 through 0 days relative to index: Cladosporium herbarum IgE Ab [Units/volume] in Serum,702,3005136
3006322702,measurement during day -365 through 0 days relative to index: Oral temperature,702,3006322
3006451702,measurement during day -365 through 0 days relative to index: Walnut IgE Ab [Units/volume] in Serum,702,3006451
3006734702,measurement during day -365 through 0 days relative to index: White Oak IgE Ab [Units/volume] in Serum,702,3006734
3009542702,measurement during day -365 through 0 days relative to index: Hematocrit,702,3009542
3011505702,measurement during day -365 through 0 days relative to index: FEV1/FVC,702,3011505
3012494702,measurement during day -365 through 0 days relative to index: Peanut IgE Ab [Units/volume] in Serum,702,3012494
3014599702,measurement during day -365 through 0 days relative to index: Egg white IgE Ab [Units/volume] in Serum,702,3014599
3015076702,measurement during day -365 through 0 days relative to index: Soybean IgE Ab [Units/volume] in Serum,702,3015076
3019406702,measurement during day -365 through 0 days relative to index: Latex IgE Ab [Units/volume] in Serum,702,3019406
