cohort_id,covariate_id,mean,sd,database_id
14906,28060212,0.0011,0,Eunomia
14906,78272212,6e-4,0,Eunomia
14906,80180212,1,0,Eunomia
14906,80809212,6e-4,0,Eunomia
14906,134438212,6e-4,0,Eunomia
14906,195588212,0.0011,0,Eunomia
14906,257012212,0.0033,0,Eunomia
14906,260139212,0.0039,0,Eunomia
14906,317576212,6e-4,0,Eunomia
14906,372328212,0.0044,0,Eunomia
14906,375671212,6e-4,0,Eunomia
14906,439777212,6e-4,0,Eunomia
14906,4001336212,6e-4,0,Eunomia
14906,4048171212,0.0011,0,Eunomia
14906,4084167212,6e-4,0,Eunomia
14906,4112343212,0.0067,0,Eunomia
14906,4116491212,0.0011,0,Eunomia
14906,4132546212,6e-4,0,Eunomia
14906,4134304212,6e-4,0,Eunomia
14906,4152936212,6e-4,0,Eunomia
14906,4218389212,6e-4,0,Eunomia
14906,4237458212,6e-4,0,Eunomia
14906,4266809212,0.1878,0,Eunomia
14906,4278672212,0.0017,0,Eunomia
14906,4280726212,0.0011,0,Eunomia
14906,4283893212,0.0189,0,Eunomia
14906,4285898212,0.0156,0,Eunomia
14906,4294548212,0.0017,0,Eunomia
14906,4296204212,6e-4,0,Eunomia
14906,40481087212,0.0122,0,Eunomia
14906,40486433212,0.0017,0,Eunomia
14907,28060212,0.0012,0,Eunomia
14907,80180212,1,0,Eunomia
14907,257012212,0.0048,0,Eunomia
14907,260139212,0.0084,0,Eunomia
14907,372328212,0.0012,0,Eunomia
14907,375671212,0.0012,0,Eunomia
14907,378001212,0.0012,0,Eunomia
14907,439777212,0.0012,0,Eunomia
14907,4001336212,0.0024,0,Eunomia
14907,4035415212,0.0012,0,Eunomia
14907,4048171212,0.0012,0,Eunomia
14907,4109685212,0.0012,0,Eunomia
14907,4112343212,0.0048,0,Eunomia
14907,4116491212,0.0012,0,Eunomia
14907,4132546212,0.0024,0,Eunomia
14907,4134304212,0.0012,0,Eunomia
14907,4149245212,0.0012,0,Eunomia
14907,4218389212,0.0012,0,Eunomia
14907,4266809212,0.0759,0,Eunomia
14907,4280726212,0.0012,0,Eunomia
14907,4283893212,0.0205,0,Eunomia
14907,4285898212,0.012,0,Eunomia
14907,4294548212,0.0012,0,Eunomia
14907,4296205212,0.0012,0,Eunomia
14907,40481087212,0.0145,0,Eunomia
14907,40486433212,0.0012,0,Eunomia
14909,80180212,0.3424,0,Eunomia
14909,134438212,0.0021,0,Eunomia
14909,192671212,1,0,Eunomia
14909,257012212,0.0021,0,Eunomia
14909,260139212,0.0042,0,Eunomia
14909,378001212,0.0021,0,Eunomia
14909,4001336212,0.0021,0,Eunomia
14909,4048171212,0.0021,0,Eunomia
14909,4112343212,0.0063,0,Eunomia
14909,4132546212,0.0021,0,Eunomia
14909,4134304212,0.0042,0,Eunomia
14909,4142905212,0.0021,0,Eunomia
14909,4266809212,0.0981,0,Eunomia
14909,4283893212,0.0063,0,Eunomia
14909,40481087212,0.0042,0,Eunomia
14909,40486433212,0.0021,0,Eunomia
17492,80180212,0.3424,0,Eunomia
17492,134438212,0.0021,0,Eunomia
17492,192671212,1,0,Eunomia
17492,257012212,0.0021,0,Eunomia
17492,260139212,0.0042,0,Eunomia
17492,378001212,0.0021,0,Eunomia
17492,4001336212,0.0021,0,Eunomia
17492,4048171212,0.0021,0,Eunomia
17492,4112343212,0.0063,0,Eunomia
17492,4132546212,0.0021,0,Eunomia
17492,4134304212,0.0042,0,Eunomia
17492,4142905212,0.0021,0,Eunomia
17492,4266809212,0.0981,0,Eunomia
17492,4283893212,0.0063,0,Eunomia
17492,40481087212,0.0042,0,Eunomia
17492,40486433212,0.0021,0,Eunomia
17493,80180212,0.3424,0,Eunomia
17493,134438212,0.0021,0,Eunomia
17493,192671212,1,0,Eunomia
17493,257012212,0.0021,0,Eunomia
17493,260139212,0.0042,0,Eunomia
17493,378001212,0.0021,0,Eunomia
17493,4001336212,0.0021,0,Eunomia
17493,4048171212,0.0021,0,Eunomia
17493,4112343212,0.0063,0,Eunomia
17493,4132546212,0.0021,0,Eunomia
17493,4134304212,0.0042,0,Eunomia
17493,4142905212,0.0021,0,Eunomia
17493,4266809212,0.0981,0,Eunomia
17493,4283893212,0.0063,0,Eunomia
17493,40481087212,0.0042,0,Eunomia
17493,40486433212,0.0021,0,Eunomia
18342,80180212,0.3424,0,Eunomia
18342,134438212,0.0021,0,Eunomia
18342,192671212,1,0,Eunomia
18342,257012212,0.0021,0,Eunomia
18342,260139212,0.0042,0,Eunomia
18342,378001212,0.0021,0,Eunomia
18342,4001336212,0.0021,0,Eunomia
18342,4048171212,0.0021,0,Eunomia
18342,4112343212,0.0063,0,Eunomia
18342,4132546212,0.0021,0,Eunomia
18342,4134304212,0.0042,0,Eunomia
18342,4142905212,0.0021,0,Eunomia
18342,4266809212,0.0981,0,Eunomia
18342,4283893212,0.0063,0,Eunomia
18342,40481087212,0.0042,0,Eunomia
18342,40486433212,0.0021,0,Eunomia
18345,28060212,0.0011,0,Eunomia
18345,78272212,6e-4,0,Eunomia
18345,80180212,1,0,Eunomia
18345,80809212,6e-4,0,Eunomia
18345,134438212,6e-4,0,Eunomia
18345,195588212,0.0011,0,Eunomia
18345,257012212,0.0033,0,Eunomia
18345,260139212,0.0039,0,Eunomia
18345,317576212,6e-4,0,Eunomia
18345,372328212,0.0044,0,Eunomia
18345,375671212,6e-4,0,Eunomia
18345,439777212,6e-4,0,Eunomia
18345,4001336212,6e-4,0,Eunomia
18345,4048171212,0.0011,0,Eunomia
18345,4084167212,6e-4,0,Eunomia
18345,4112343212,0.0067,0,Eunomia
18345,4116491212,0.0011,0,Eunomia
18345,4132546212,6e-4,0,Eunomia
18345,4134304212,6e-4,0,Eunomia
18345,4152936212,6e-4,0,Eunomia
18345,4218389212,6e-4,0,Eunomia
18345,4237458212,6e-4,0,Eunomia
18345,4266809212,0.1878,0,Eunomia
18345,4278672212,0.0017,0,Eunomia
18345,4280726212,0.0011,0,Eunomia
18345,4283893212,0.0189,0,Eunomia
18345,4285898212,0.0156,0,Eunomia
18345,4294548212,0.0017,0,Eunomia
18345,4296204212,6e-4,0,Eunomia
18345,40481087212,0.0122,0,Eunomia
18345,40486433212,0.0017,0,Eunomia
18346,28060212,0.0011,0,Eunomia
18346,78272212,6e-4,0,Eunomia
18346,80180212,1,0,Eunomia
18346,80809212,6e-4,0,Eunomia
18346,134438212,6e-4,0,Eunomia
18346,195588212,0.0011,0,Eunomia
18346,257012212,0.0033,0,Eunomia
18346,260139212,0.0039,0,Eunomia
18346,317576212,6e-4,0,Eunomia
18346,372328212,0.0044,0,Eunomia
18346,375671212,6e-4,0,Eunomia
18346,439777212,6e-4,0,Eunomia
18346,4001336212,6e-4,0,Eunomia
18346,4048171212,0.0011,0,Eunomia
18346,4084167212,6e-4,0,Eunomia
18346,4112343212,0.0067,0,Eunomia
18346,4116491212,0.0011,0,Eunomia
18346,4132546212,6e-4,0,Eunomia
18346,4134304212,6e-4,0,Eunomia
18346,4152936212,6e-4,0,Eunomia
18346,4218389212,6e-4,0,Eunomia
18346,4237458212,6e-4,0,Eunomia
18346,4266809212,0.1878,0,Eunomia
18346,4278672212,0.0017,0,Eunomia
