cohort_id,concept_set_id,concept_id,database_id
14906,0,1118084,Eunomia
18345,0,1118084,Eunomia
18346,0,1118084,Eunomia
18351,0,1118084,Eunomia
14907,0,1124300,Eunomia
18352,0,1124300,Eunomia
14907,1,192671,Eunomia
14909,0,192671,Eunomia
17492,0,192671,Eunomia
17493,0,192671,Eunomia
18342,0,192671,Eunomia
18352,1,192671,Eunomia
17720,0,4144583,Eunomia
18347,0,1124300,Eunomia
18348,0,1124300,Eunomia
18349,0,1124300,Eunomia
18350,0,1124300,Eunomia
18350,1,28060,Eunomia
18350,1,30753,Eunomia
18350,1,78272,Eunomia
18350,1,80180,Eunomia
18350,1,80502,Eunomia
18350,1,80809,Eunomia
18350,1,81151,Eunomia
18350,1,81893,Eunomia
18350,1,133834,Eunomia
18350,1,134438,Eunomia
18350,1,140673,Eunomia
18350,1,192671,Eunomia
18350,1,195588,Eunomia
18350,1,196456,Eunomia
18350,1,198199,Eunomia
18350,1,198809,Eunomia
18350,1,255848,Eunomia
18350,1,257012,Eunomia
18350,1,258780,Eunomia
18350,1,260139,Eunomia
18350,1,261325,Eunomia
18350,1,313217,Eunomia
18350,1,317009,Eunomia
18350,1,317576,Eunomia
18350,1,321042,Eunomia
18350,1,372328,Eunomia
18350,1,375671,Eunomia
18350,1,378001,Eunomia
18350,1,378419,Eunomia
18350,1,380378,Eunomia
18350,1,381316,Eunomia
18350,1,440448,Eunomia
18350,1,441267,Eunomia
18350,1,4001336,Eunomia
18350,1,4027663,Eunomia
18350,1,4029498,Eunomia
18350,1,4035415,Eunomia
18350,1,4043241,Eunomia
18350,1,4048171,Eunomia
18350,1,4048695,Eunomia
18350,1,4051466,Eunomia
18350,1,4056621,Eunomia
18350,1,4059173,Eunomia
18350,1,4066995,Eunomia
18350,1,4112343,Eunomia
18350,1,4116491,Eunomia
18350,1,4132546,Eunomia
18350,1,4134304,Eunomia
18350,1,4142905,Eunomia
18350,1,4144583,Eunomia
18350,1,4146173,Eunomia
18350,1,4149245,Eunomia
18350,1,4166224,Eunomia
18350,1,4230399,Eunomia
18350,1,4237458,Eunomia
18350,1,4266809,Eunomia
18350,1,4278672,Eunomia
18350,1,4280726,Eunomia
18350,1,4283893,Eunomia
18350,1,4285898,Eunomia
18350,1,4294548,Eunomia
18350,1,4296204,Eunomia
18350,1,4310024,Eunomia
18350,1,4329847,Eunomia
18350,1,40479422,Eunomia
18350,1,40479768,Eunomia
18350,1,40480160,Eunomia
18350,1,40481087,Eunomia
18350,1,40486433,Eunomia
18350,1,44782520,Eunomia
18350,1,45769019,Eunomia
